계정코드,계정명칭,차대변구분
1120300,미완성주택상가(시),차/대변 모두 가능
1120301,미완성주택상가,차/대변 모두 가능
1120302,미완성주택상가(타),차/대변 모두 가능
1120400,미완성주택(손실충당금),차/대변 모두 가능
1120500,미완성공사(시),차/대변 모두 가능
1120501,미완성공사,차/대변 모두 가능
1120502,미완성공사(타),차/대변 모두 가능
1120600,용지,차/대변 모두 가능
1120700,가설재,차/대변 모두 가능
1120800,원재료,차/대변 모두 가능
1120801,원재료(식료(당기매입)),차/대변 모두 가능
1120802,원재료(식료(타계정대체)),차/대변 모두 가능
1120803,원재료(음료(당기매입)),차/대변 모두 가능
1120804,원재료(음료(타계정대체)),차/대변 모두 가능
1120805,원재료(식료(기말재고)),차/대변 모두 가능
1120806,원재료(음료(기말재고)),차/대변 모두 가능
1120807,원재료(귀금속(당기매입)),차/대변 모두 가능
1120808,원재료(귀금속(타계정대체)),차/대변 모두 가능
1120809,원재료(귀금속(기말재고)),차/대변 모두 가능
1120900,부재료,차/대변 모두 가능
1120950,저장품,차/대변 모두 가능
1120951,저장품(농약),차/대변 모두 가능
1120952,저장품(비료),차/대변 모두 가능
1120953,저장품(모래),차/대변 모두 가능
1120956,저장품(식자재),차/대변 모두 가능
1120957,저장품(식음료),차/대변 모두 가능
1120958,저장품(일반),차/대변 모두 가능
1120959,저장품(린넨류),차/대변 모두 가능
1120960,상품,차/대변 모두 가능
1120961,상품(당기매입),차/대변 모두 가능
1120962,상품(타계정대체),차/대변 모두 가능
1120963,상품(기말재고),차/대변 모두 가능
1120964,저장품(기물류),차/대변 모두 가능
1120965,저장품(시설류),차/대변 모두 가능
1120966,저장품(유류),차/대변 모두 가능
1120967,저장품(소모품),차/대변 모두 가능
1120968,저장품(가스),차/대변 모두 가능
1120969,상품(귀금속(당기매입)),차/대변 모두 가능
1120970,상품(귀금속(타계정대체)),차/대변 모두 가능
1120971,상품(귀금속(기말재고)),차/대변 모두 가능
1120972,상품(귀금속),차/대변 모두 가능
1121000,기타의재고자산(확장),차/대변 모두 가능
1121010,기타의재고자산(옵션),차/대변 모두 가능
1121050,수탁판매대금,차/대변 모두 가능
1121055,수탁판매대금(온라인도매시장),차/대변 모두 가능
1121100,제품,차/대변 모두 가능
1121101,제품(귀금속(당기매입)),차/대변 모두 가능
1121102,제품(귀금속(타계정대체)),차/대변 모두 가능
1121103,제품(귀금속(기말재고)),차/대변 모두 가능
1121200,재공품,차/대변 모두 가능
1200100,완성임대주택,차/대변 모두 가능
1200200,미완성임대주택(시),차/대변 모두 가능
1200201,미완성임대주택,차/대변 모두 가능
1200202,미완성임대주택(타),차/대변 모두 가능
1200300,임대주택용지,차/대변 모두 가능
1200400,임대주택토지,차/대변 모두 가능
1200500,임대주택채권,차/대변 모두 가능
1200600,국민주택기금차입금,차/대변 모두 가능
1200700,표준임대보증금,차/대변 모두 가능
1200800,전환임대보증금,차/대변 모두 가능
1200900,임대주택(시),차/대변 모두 가능
1200901,임대주택(이월),차/대변 모두 가능
1200902,임대주택,차/대변 모두 가능
1201000,임대감가상각누계액,차/대변 모두 가능
1201100,임대자산조정,차/대변 모두 가능
1310100,장기금융상품,차/대변 모두 가능
1310101,정기예금(장기성),차/대변 모두 가능
1310102,장기금융(기타),차/대변 모두 가능
1310103,특정현금과예금,차/대변 모두 가능
1310104,별단예금,차/대변 모두 가능
1310200,장기성보험,차/대변 모두 가능
1310300,매도가능증권(장기),차/대변 모두 가능
1310301,매도가능증권(장기:투자주식),차/대변 모두 가능
1310302,매도가능증권(장기:출자금),차/대변 모두 가능
1310303,매도가능증권(장기:국민주택채권,차/대변 모두 가능
1310304,매도가능증권(장기:지역개발공채,차/대변 모두 가능
1310305,매도가능증권(장기:기타),차/대변 모두 가능
1310306,매도가능증권(수익증권),차/대변 모두 가능
1310309,매도가능증권(기타유가증권),차/대변 모두 가능
1310400,만기보유증권,차/대변 모두 가능
1310401,만기보유증권(국민주택채권),차/대변 모두 가능
1310402,만기보유증권(지역개별공채),차/대변 모두 가능
1310403,만기보유증권(기타),차/대변 모두 가능
1310404,비유동당기손익금융자산(지분),차/대변 모두 가능
1310405,비유동당기손익금융자산(채무),차/대변 모두 가능
1310500,지분법적용투자주식,차/대변 모두 가능
1310600,회원권,차/대변 모두 가능
1310620,손상차손누계(회원권),차/대변 모두 가능
1310700,장기대여금,차/대변 모두 가능
1310701,장기대여금(무이자),차/대변 모두 가능
1310702,장기대여금(관계사),차/대변 모두 가능
1310703,장기대여금(기타),차/대변 모두 가능
1310704,장기영업대여금,차/대변 모두 가능
1310800,대손충당금(장기대여금),차/대변 모두 가능
1310900,수익사업출자금,차/대변 모두 가능
1311000,예술품,차/대변 모두 가능
1311100,기타의투자자산,차/대변 모두 가능
1311810,투자주식(신기술),차/대변 모두 가능
1311820,출 자 금,차/대변 모두 가능
1311821,출자금(신기술),차/대변 모두 가능
1311829,출자금(기타),차/대변 모두 가능
1311830,투자사채,차/대변 모두 가능
1311831,투자사채(신기술),차/대변 모두 가능
1311832,대손충당금(투자사채(신기술)),차/대변 모두 가능
1311833,할인차금및이연수익(투자사채(신,차/대변 모두 가능
1311834,파생상품자산,차/대변 모두 가능
1311835,파생상품자산(신기술),차/대변 모두 가능
1311900,퇴직연금운용자산,차/대변 모두 가능
1311901,퇴직연금운용자산(예금),차/대변 모두 가능
1311902,퇴직연금운용자산(미운용자산),차/대변 모두 가능
1320100,토지,차/대변 모두 가능
1320200,감가누계(토지),차/대변 모두 가능
1320300,감액누계(토지),차/대변 모두 가능
1320310,토지(임대),차/대변 모두 가능
1320400,건물,차/대변 모두 가능
1320500,감가누계(건물),차/대변 모두 가능
1320600,감액누계(건물),차/대변 모두 가능
1320610,건물(임대),차/대변 모두 가능
1320620,감가누계(건물:임대),차/대변 모두 가능
1320630,감액누계(건물:임대),차/대변 모두 가능
1320640,임대자산사용권조정,차/대변 모두 가능
1320700,구축물,차/대변 모두 가능
1320710,구축물(구축물),차/대변 모두 가능
1320720,구축물(조경물),차/대변 모두 가능
1320800,감가누계(구축물),차/대변 모두 가능
1320900,감액누계(구축물),차/대변 모두 가능
1321000,기계장치,차/대변 모두 가능
1321100,감가누계(기계장치),차/대변 모두 가능
1321200,감액누계(기계장치),차/대변 모두 가능
1321300,차량운반구,차/대변 모두 가능
1321400,감가누계(차량운반구),차/대변 모두 가능
1321500,감액누계(차량운반구),차/대변 모두 가능
1321600,공구와기구,차/대변 모두 가능
1321700,감가누계(공구와기구),차/대변 모두 가능
1321800,감액누계(공구와기구),차/대변 모두 가능
1321900,집기비품,차/대변 모두 가능
1322000,감가누계(집기비품),차/대변 모두 가능
1322100,감액누계(집기비품),차/대변 모두 가능
1322200,기계공구,차/대변 모두 가능
1322300,감가누계(기계공구),차/대변 모두 가능
1322400,감액누계(기계공구),차/대변 모두 가능
1322500,중기,차/대변 모두 가능
1322600,감가누계(중기),차/대변 모두 가능
1322700,감액누계(중기),차/대변 모두 가능
1322800,건설기자재,차/대변 모두 가능
1322900,감가누계(건설기자재),차/대변 모두 가능
1323000,감액누계(건설기자재),차/대변 모두 가능
1323100,시설장치,차/대변 모두 가능
1323200,감가누계(시설장치),차/대변 모두 가능
1323300,감액누계(시설장치),차/대변 모두 가능
1323310,국고보조금(시설장치),차/대변 모두 가능
1323400,건설중인자산,차/대변 모두 가능
1323410,건설중인자산(토지),차/대변 모두 가능
1323420,건설중인자산(토지조성),차/대변 모두 가능
1323430,건설중인자산(건물),차/대변 모두 가능
1323440,건설중인자산(구축물),차/대변 모두 가능
1323450,건설중인자산(조경물),차/대변 모두 가능
1323460,건설중인자산(집기비품),차/대변 모두 가능
1323470,건설중인자산(기타),차/대변 모두 가능
1323500,리스임대주택토지,차/대변 모두 가능
1323600,리스임대주택,차/대변 모두 가능
1323700,감가누계(리스임대주택),차/대변 모두 가능
1323800,감액누계(리스임대주택),차/대변 모두 가능
1323900,코스,차/대변 모두 가능
1324000,조경,차/대변 모두 가능
1324100,해수류,차/대변 모두 가능
1324200,감가누계(해수류),차/대변 모두 가능
1324300,선박,차/대변 모두 가능
1324400,감가누계(선박),차/대변 모두 가능
1324500,사용권자산,차/대변 모두 가능
1324600,금형,차/대변 모두 가능
1324700,감가누계(금형),차/대변 모두 가능
1324800,감액누계(금형),차/대변 모두 가능
1330100,영업권,차/대변 모두 가능
1330200,산업재산권,차/대변 모두 가능
1330201,특허권,차/대변 모두 가능
1330202,상표권,차/대변 모두 가능
1330203,실용신안권,차/대변 모두 가능
1330204,디자인권,차/대변 모두 가능
1330205,면허권,차/대변 모두 가능
